title,slug,link,match_title,match_year,seen
The Producers (1967),the-producers,https://letterboxd.com/film/the-producers/,the producers,1967,True
Marketa Lazarová (1967),marketa-lazarova,https://letterboxd.com/film/marketa-lazarova/,marketa lazarová,1967,True
Planet of the Apes (1968),planet-of-the-apes,https://letterboxd.com/film/planet-of-the-apes/,planet of the apes,1968,True
2001: A Space Odyssey (1968),2001-a-space-odyssey,https://letterboxd.com/film/2001-a-space-odyssey/,2001: a space odyssey,1968,True
Rosemary's Baby (1968),rosemarys-baby,https://letterboxd.com/film/rosemarys-baby/,rosemary's baby,1968,True
Night of the Living Dead (1968),night-of-the-living-dead,https://letterboxd.com/film/night-of-the-living-dead/,night of the living dead,1968,True
if.... (1968),if,https://letterboxd.com/film/if/,if....,1968,True
Once Upon a Time in the West (1968),once-upon-a-time-in-the-west,https://letterboxd.com/film/once-upon-a-time-in-the-west/,once upon a time in the west,1968,True
In the Year of the Pig (1969),in-the-year-of-the-pig,https://letterboxd.com/film/in-the-year-of-the-pig/,in the year of the pig,1969,True
Z (1969),z,https://letterboxd.com/film/z/,z,1969,True
Easy Rider (1969),easy-rider,https://letterboxd.com/film/easy-rider/,easy rider,1969,True
Midnight Cowboy (1969),midnight-cowboy,https://letterboxd.com/film/midnight-cowboy/,midnight cowboy,1969,True
The Wild Bunch (1969),the-wild-bunch,https://letterboxd.com/film/the-wild-bunch/,the wild bunch,1969,True
The Sorrow and the Pity (1969),the-sorrow-and-the-pity-1969,https://letterboxd.com/film/the-sorrow-and-the-pity-1969/,the sorrow and the pity,1969,True
Butch Cassidy and the Sundance Kid (1969),butch-cassidy-and-the-sundance-kid,https://letterboxd.com/film/butch-cassidy-and-the-sundance-kid/,butch cassidy and the sundance kid,1969,True
M*A*S*H (1970),mash,https://letterboxd.com/film/mash/,m*a*s*h,1970,True
Zabriskie Point (1970),zabriskie-point,https://letterboxd.com/film/zabriskie-point/,zabriskie point,1970,True
The Bird with the Crystal Plumage (1970),the-bird-with-the-crystal-plumage,https://letterboxd.com/film/the-bird-with-the-crystal-plumage/,the bird with the crystal plumage,1970,True
The Butcher (1970),the-butcher-1970,https://letterboxd.com/film/the-butcher-1970/,the butcher,1970,True
Tristana (1970),tristana,https://letterboxd.com/film/tristana/,tristana,1970,True
Performance (1970),performance,https://letterboxd.com/film/performance/,performance,1970,True
Five Easy Pieces (1970),five-easy-pieces,https://letterboxd.com/film/five-easy-pieces/,five easy pieces,1970,True
The Conformist (1970),the-conformist,https://letterboxd.com/film/the-conformist/,the conformist,1970,True
Gimme Shelter (1970),gimme-shelter-1970,https://letterboxd.com/film/gimme-shelter-1970/,gimme shelter,1970,True
Little Big Man (1970),little-big-man,https://letterboxd.com/film/little-big-man/,little big man,1970,True
A Touch of Zen (1970),a-touch-of-zen,https://letterboxd.com/film/a-touch-of-zen/,a touch of zen,1970,True
El Topo (1970),el-topo,https://letterboxd.com/film/el-topo/,el topo,1970,True
Get Carter (1971),get-carter,https://letterboxd.com/film/get-carter/,get carter,1971,True
