title,slug,link,match_title,match_year,seen
The War Game (1966),the-war-game,https://letterboxd.com/film/the-war-game/,the war game,1966,False
Hold Me While I'm Naked (1966),hold-me-while-im-naked,https://letterboxd.com/film/hold-me-while-im-naked/,hold me while i'm naked,1966,False
Seconds (1966),seconds,https://letterboxd.com/film/seconds/,seconds,1966,False
Au Hasard Balthazar (1966),au-hasard-balthazar,https://letterboxd.com/film/au-hasard-balthazar/,au hasard balthazar,1966,False
The Battle of Algiers (1966),the-battle-of-algiers,https://letterboxd.com/film/the-battle-of-algiers/,the battle of algiers,1966,False
The Man Who Had His Hair Cut Short (1966),the-man-who-had-his-hair-cut-short,https://letterboxd.com/film/the-man-who-had-his-hair-cut-short/,the man who had his hair cut short,1966,False
Persona (1966),persona,https://letterboxd.com/film/persona/,persona,1966,False
Andrei Rublev (1966),andrei-rublev,https://letterboxd.com/film/andrei-rublev/,andrei rublev,1966,False
David Holzman's Diary (1967),david-holzmans-diary,https://letterboxd.com/film/david-holzmans-diary/,david holzman's diary,1967,False
Hombre (1967),hombre,https://letterboxd.com/film/hombre/,hombre,1967,False
Entranced Earth (1967),entranced-earth,https://letterboxd.com/film/entranced-earth/,entranced earth,1967,False
Report (1967),report,https://letterboxd.com/film/report/,report,1967,False
Point Blank (1967),point-blank,https://letterboxd.com/film/point-blank/,point blank,1967,False
The Jungle Book (1967),the-jungle-book,https://letterboxd.com/film/the-jungle-book/,the jungle book,1967,False
The Red and the White (1967),the-red-and-the-white,https://letterboxd.com/film/the-red-and-the-white/,the red and the white,1967,False
Viy (1967),viy,https://letterboxd.com/film/viy/,viy,1967,False
The Firemen's Ball (1967),the-firemens-ball,https://letterboxd.com/film/the-firemens-ball/,the firemen's ball,1967,False
PlayTime (1967),playtime,https://letterboxd.com/film/playtime/,playtime,1967,False
The Graduate (1967),the-graduate,https://letterboxd.com/film/the-graduate/,the graduate,1967,False
Wavelength (1967),wavelength-1967,https://letterboxd.com/film/wavelength-1967/,wavelength,1967,False
Weekend (1967),weekend-1967,https://letterboxd.com/film/weekend-1967/,weekend,1967,False
Hour of the Wolf (1968),hour-of-the-wolf,https://letterboxd.com/film/hour-of-the-wolf/,hour of the wolf,1968,False
High School (1968),high-school,https://letterboxd.com/film/high-school/,high school,1968,False
Targets (1968),targets,https://letterboxd.com/film/targets/,targets,1968,False
Memories of Underdevelopment (1968),memories-of-underdevelopment,https://letterboxd.com/film/memories-of-underdevelopment/,memories of underdevelopment,1968,False
Shame (1968),shame,https://letterboxd.com/film/shame/,shame,1968,False
Lucía (1968),lucia,https://letterboxd.com/film/lucia/,lucía,1968,False
Faces (1968),faces-1968,https://letterboxd.com/film/faces-1968/,faces,1968,False
The Cow (1969),the-cow-1969,https://letterboxd.com/film/the-cow-1969/,the cow,1969,False
My Night at Maud's (1969),my-night-at-mauds,https://letterboxd.com/film/my-night-at-mauds/,my night at maud's,1969,False
